iter	Passed	Remaining
695	1401	612
696	1402	609
697	1404	607
698	1407	605
699	1409	603
700	1411	601
701	1413	599
702	1415	597
703	1417	595
704	1419	594
705	1421	592
706	1423	590
707	1425	588
708	1427	585
709	1430	584
710	1432	582
711	1434	580
712	1436	578
713	1438	576
714	1440	574
715	1443	572
716	1482	585
717	1484	583
718	1486	581
719	1489	579
720	1495	578
721	1498	576
722	1500	574
723	1503	573
724	1505	570
725	1507	568
726	1509	566
727	1511	564
728	1512	562
729	1514	560
730	1516	557
731	1517	555
732	1519	553
733	1521	551
734	1523	549
735	1525	547
736	1526	544
737	1528	542
738	1530	540
739	1532	538
740	1533	536
741	1535	533
742	1537	531
743	1539	529
744	1540	527
745	1542	525
746	1544	523
747	1546	520
748	1547	518
749	1549	516
750	1551	514
751	1553	512
752	1555	510
753	1556	507
754	1558	505
755	1560	503
756	1562	501
757	1564	499
758	1566	497
759	1567	495
760	1569	492
761	1571	490
762	1573	488
763	1574	486
764	1576	484
765	1578	482
766	1580	480
767	1582	477
768	1584	475
769	1585	473
770	1587	471
771	1589	469
772	1591	467
773	1593	465
774	1595	463
775	1597	461
776	1599	459
777	1601	457
778	1603	455
779	1606	452
780	1608	450
781	1610	448
782	1611	446
783	1613	444
784	1616	442
785	1618	440
786	1620	438
787	1622	436
788	1624	434
789	1626	432
790	1628	430
791	1630	428
792	1633	426
793	1635	424
794	1636	422
795	1639	420
796	1641	418
797	1643	416
798	1646	414
799	1648	412
800	1650	410
801	1652	407
802	1653	405
803	1655	403
804	1657	401
805	1659	399
806	1661	397
807	1662	395
808	1664	392
809	1666	390
810	1668	388
811	1669	386
812	1671	384
813	1673	382
814	1675	380
815	1677	378
816	1678	376
817	1680	373
818	1682	371
819	1684	369
820	1685	367
821	1687	365
822	1689	363
823	1691	361
824	1693	359
825	1694	357
826	1696	354
827	1698	352
828	1700	350
829	1702	348
830	1704	346
831	1705	344
832	1707	342
833	1709	340
834	1711	338
835	1713	336
836	1714	333
837	1716	331
838	1718	329
839	1720	327
840	1722	325
841	1723	323
842	1725	321
843	1727	319
844	1729	317
845	1731	315
846	1732	313
847	1734	310
848	1736	308
849	1737	306
850	1739	304
851	1741	302
852	1743	300
853	1745	298
854	1746	296
855	1748	294
856	1750	292
857	1752	290
858	1754	287
859	1755	285
860	1757	283
861	1759	281
862	1760	279
863	1762	277
864	1764	275
865	1766	273
866	1768	271
867	1769	269
868	1771	267
869	1773	264
870	1775	262
871	1777	260
872	1778	258
873	1780	256
874	1782	254
875	1784	252
876	1785	250
877	1787	248
878	1789	246
879	1791	244
880	1793	242
881	1796	240
882	1798	238
883	1800	236
884	1802	234
885	1804	232
886	1806	230
887	1808	228
888	1810	226
889	1812	224
890	1814	221
891	1816	219
892	1818	217
893	1820	215
894	1822	213
895	1824	211
896	1826	209
897	1828	207
898	1830	205
899	1832	203
900	1834	201
901	1837	199
902	1839	197
903	1841	195
904	1843	193
905	1845	191
906	1848	189
907	1849	187
908	1851	185
909	1853	183
910	1854	181
911	1856	179
912	1858	177
913	1860	175
914	1862	172
915	1863	170
916	1865	168
917	1867	166
918	1869	164
919	1870	162
920	1872	160
921	1874	158
922	1876	156
923	1878	154
924	1879	152
925	1881	150
926	1883	148
927	1885	146
928	1887	144
929	1888	142
930	1890	140
931	1892	138
932	1894	136
933	1895	133
934	1897	131
935	1899	129
936	1900	127
937	1902	125
938	1904	123
939	1906	121
940	1907	119
941	1909	117
942	1911	115
943	1913	113
944	1915	111
945	1916	109
946	1918	107
947	1920	105
948	1922	103
949	1923	101
950	1925	99
951	1927	97
952	1929	95
953	1930	93
954	1932	91
955	1934	89
956	1936	87
957	1938	84
958	1939	82
959	1941	80
960	1943	78
961	1945	76
962	1947	74
963	1948	72
964	1950	70
965	1952	68
966	1954	66
967	1955	64
968	1957	62
969	1959	60
970	1961	58
971	1962	56
972	1964	54
973	1966	52
974	1968	50
975	1970	48
976	1971	46
977	1973	44
978	1975	42
979	1977	40
980	1978	38
981	1980	36
982	1982	34
983	1984	32
984	1986	30
985	1988	28
986	1989	26
987	1991	24
988	1993	22
989	1994	20
990	1996	18
991	1998	16
992	2000	14
993	2002	12
994	2004	10
995	2006	8
996	2008	6
997	2010	4
998	2013	2
999	2015	0
